"time"	"cell.id"	"cell.type"	"PM"	"Z"	"gI"	"IFN_nM"	"TGF_nM"
40	32	1	12950.22866	4737.834864	0	6.403881388e-05	0.05393855721
40	37	1	19302.05317	7210.546772	0	0.0359681776	0.08435746301
40	38	1	13616.11025	5528.494816	0	0.01121241641	0.07587788182
40	39	1	13372.64933	5219.106023	0	0.003808240987	0.06839420628
40	40	1	13190.44262	5004.563873	0	0.001356150635	0.06266743146
40	41	1	13061.09112	4858.266584	0	0.0004377360849	0.05765017093
40	42	1	12982.52444	4772.469739	0	0.000151669545	0.05504853321
40	43	1	12948.35334	4735.649448	0	8.584381987e-05	0.05440125886
40	48	1	13772.60167	5739.440465	0	0.02191731862	0.08107070358
40	49	1	13498.99078	5375.000994	0	0.006875986028	0.07265594374
40	50	1	13266.39499	5091.967216	0	0.002273179707	0.06474894143
40	51	1	13109.5787	4912.259195	0	0.000834885513	0.05892111005
40	52	1	13001.86789	4793.517201	0	0.0003025834537	0.05624377995
40	53	1	12952.23776	4740.021672	0	0.0001655178883	0.05406773517
40	58	1	14591.01534	6101.148081	0	0.031408819	0.08465554291
40	59	1	13613.02431	5524.681425	0	0.01119256311	0.07576131647
40	60	1	13360.29325	5204.87323	0	0.00529399858	0.06753004337
40	61	1	13170.58348	4980.458795	0	0.002243405297	0.06063619348
40	62	1	13048.78511	4844.760055	0	0.00108356308	0.05769272418
40	63	1	12982.26132	4772.005976	0	0.0005567957113	0.05498380759
40	64	1	12945.01357	4732.283772	0	0.0003326073176	0.05432797227
40	66	1	15123.02026	8493.733777	0	0.01706412031	0.1177474219
40	67	1	30761.31595	7455.996643	0	0.04761900397	0.1054795271
40	68	1	14080.60762	6201.736113	0	0.02239513435	0.0889642835
40	69	1	13758.58953	5721.807516	0	0.02219533695	0.0790805766
40	70	1	13477.99928	5348.529832	0	0.02141596135	0.07052828951
40	71	1	13252.76498	5075.348048	0	0.01193364128	0.06355736235
40	72	1	13107.6612	4910.003823	0	0.006612288017	0.05920542245
40	73	1	13014.49349	4807.084598	0	0.002121418588	0.05649617776
40	74	1	12953.43514	4741.284899	0	0.0007595687297	0.05407674096
40	76	1	15652.42929	10386.66661	0	0.004320534072	0.1287311107
40	77	1	14727.5998	7450.570749	0	0.007532348027	0.1085998973
40	78	1	14244.39641	6481.795449	0	0.01278995524	0.09556727738
40	79	1	13913.54142	5904.926643	0	0.02991374986	0.08449137303
40	80	1	57117.66059	6673.689798	0	0.09764176043	0.07324277264
40	81	1	56303.10948	6383.734578	0	0.09369226082	0.06588762674
