"# Values[S].InitialValue"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"(R21 - production I).l_5"
200400	251903	4200.35	593.229	84.5558	84555.8	196.371	7308.55	6821.31	81855.7	0.0408047	0.09
170913	4360.77	20523	48.5763	400.658	400658	284.43	4437.65	4141.81	49701.7	0.062968	0.09
202324	581008	1651.94	841.882	68.0795	68079.5	166.606	8038.37	7502.48	90029.7	0.0369872	0.09
199820	254487	4157.53	594.9	84.2573	84257.3	195.838	7316.89	6829.1	81949.2	0.0407575	0.09
196384	544317	1775.27	809.318	68.7999	68799.9	167.835	7983.77	7451.52	89418.2	0.037252	0.09
185007	5660.96	18762.3	58.004	358.19	358190	289.546	4795.34	4475.65	53707.8	0.0595203	0.09
182571	5379.19	19068.7	55.9765	366.524	366524	288.683	4729.95	4414.62	52975.4	0.0601364	0.09
187103	38506.1	12899.9	266.915	183.281	183281	286.412	6037.72	5635.2	67622.4	0.0490842	0.09
201312	575125	1670.53	836.616	68.1873	68187.3	166.789	8029.91	7494.58	89935	0.037028	0.09
185532	444250	2233.39	725.372	71.5699	71569.9	172.724	7807.6	7287.09	87445.1	0.0381287	0.09
205914	600929	1592	859.825	67.734	67734	166.026	8066.25	7528.5	90342	0.0368532	0.09
185219	5687.12	18735.6	58.1922	357.444	357444	289.621	4801.11	4481.03	53772.4	0.0594662	0.09
186721	461205	2139.55	738.952	70.992	70992	171.688	7840.75	7318.03	87816.4	0.0379611	0.09
188431	480528	2041.83	754.786	70.3955	70395.5	170.626	7876.75	7351.63	88219.6	0.0377805	0.09
211168	90435.6	8853.53	416.545	123.5	123500	251.624	6617.12	6175.97	74111.7	0.0450295	0.09
197806	553633	1742.21	817.518	68.6056	68605.6	167.502	7998.06	7464.86	89578.3	0.0371824	0.09
195462	538046	1798.27	803.828	68.9356	68935.6	168.069	7973.97	7442.38	89308.5	0.0372999	0.09
212121	632641	1505	888.674	67.2385	67238.5	165.204	8108.41	7567.85	90814.2	0.0366521	0.09
195052	55688.5	11186.7	330.133	152.719	152719	274.126	6302.41	5882.25	70587	0.0471706	0.09
190088	496324	1968.43	767.99	69.9514	69951.4	169.841	7904.86	7377.87	88534.5	0.0376405	0.09
192510	50742.9	11632.1	313.985	159.718	159718	277.738	6237.57	5821.73	69860.8	0.0476297	0.09
207601	221373	4755.7	572.511	88.4941	88494.1	203.288	7206.18	6725.77	80709.3	0.0413908	0.09
208885	215996	4863.64	568.6	89.2747	89274.7	204.631	7187.41	6708.25	80499	0.0414997	0.09
211312	628672	1515.37	885.047	67.2972	67297.2	165.301	8103.27	7563.05	90756.6	0.0366765	0.09
