"# Values[S].InitialValue"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"(R21 - production I).PM0_5"
207712	609756	1568.1	868.061	65.1809	65180.9	156.665	7632.69	7123.85	85486.2	0.0356693	54000
205368	597271	1604.02	856.761	65.3582	65358.2	156.909	7612.66	7105.15	85261.8	0.0357658	54000
178269	4941.11	19629.8	52.8405	326.978	326978	284.429	4571.28	4266.52	51198.3	0.0573952	54000
189890	19882.1	15170.1	164.189	201.777	201777	282.264	5371.07	5013	60156	0.0501607	54000
213402	638227	1491.83	894.014	64.81	64810	156.17	7676.85	7165.06	85980.8	0.0354581	54000
195067	534310	1813.86	800.834	66.4257	66425.7	158.452	7504.39	7004.1	84049.2	0.0362959	54000
227780	701845	1344.39	952.596	64.1179	64117.9	155.307	7769.14	7251.2	87014.4	0.0350241	54000
169389	4249.16	20731.7	47.765	356.492	356492	282.07	4371.18	4079.77	48957.2	0.0593976	54000
187550	469284	2099.5	745.82	67.95	67950	160.824	7377.05	6885.24	82622.9	0.0369375	54000
204514	73206	9879.83	379.046	123.785	123785	244.15	6036.53	5634.1	67609.2	0.0450528	54000
200721	251884	4204.8	593.638	80.5144	80514.4	182.71	6797.4	6344.24	76130.9	0.0401243	54000
202519	69070.3	10161.5	368.68	126.56	126560	246.843	6005.09	5604.75	67257	0.0452766	54000
190076	494867	1976.76	767.044	67.2862	67286.2	159.772	7429.28	6933.99	83207.9	0.0366719	54000
223289	683016	1385.18	935.202	64.3059	64305.9	155.532	7742.63	7226.46	86717.5	0.0351478	54000
224833	689582	1370.71	941.264	64.2389	64238.9	155.451	7751.95	7235.15	86821.8	0.0351042	54000
210263	211762	4955.86	565.898	85.3579	85357.9	191.187	6663.07	6218.87	74626.4	0.0409295	54000
214382	642903	1479.99	898.296	64.7532	64753.2	156.096	7683.92	7171.66	86059.9	0.0354245	54000
190830	501525	1947.18	772.664	67.1281	67128.1	159.525	7442.4	6946.24	83354.9	0.0366057	54000
213279	94825.1	8640.78	425.759	112.559	112559	231.733	6175.86	5764.13	69169.6	0.0440812	54000
212755	635105	1499.84	891.158	64.8486	64848.6	156.22	7672.11	7160.63	85927.6	0.0354807	54000
197656	551775	1750.22	816.138	66.0967	66096.7	157.964	7535.75	7033.37	84400.4	0.0361409	54000
217768	658639	1441.4	912.742	64.5695	64569.5	155.86	7707.35	7193.52	86322.3	0.0353136	54000
197696	59581.7	10878.9	342.579	134.085	134085	253.454	5924.56	5529.59	66355	0.0458574	54000
202291	68607.6	10194.1	367.485	126.887	126887	247.152	6001.44	5601.35	67216.2	0.0453026	54000
200462	64957.7	10459.5	357.795	129.602	129602	249.634	5971.75	5573.63	66883.6	0.0455157	54000
184159	5539.58	18902.5	57.1664	305.764	305764	285.664	4707.75	4393.9	52726.8	0.0560735	54000
187800	472127	2085.1	748.148	67.8715	67871.5	160.698	7383	6890.8	82689.6	0.0369071	54000
200386	568816	1692.39	831.238	65.8016	65801.6	157.535	7565.33	7060.97	84731.6	0.0359959	54000
187014	462869	2132.74	740.596	68.1318	68131.8	161.116	7363.48	6872.58	82471	0.0370071	54000
193546	51566	11575.9	317.385	142.13	142130	259.493	5844.87	5455.22	65462.6	0.0464432	54000
178590	4970.12	19590.3	53.051	325.855	325855	284.504	4578.62	4273.38	51280.6	0.0573232	54000
202416	580765	1654.11	841.913	65.6083	65608.3	157.259	7585.5	7079.8	84957.6	0.0358975	54000
176300	4770.13	19872.7	51.5973	333.792	333792	283.949	4526.35	4224.59	50695.1	0.0578382	54000
205743	599302	1598.06	858.596	65.3287	65328.7	156.868	7615.95	7108.22	85298.7	0.03575	54000
193842	525469	1847.93	793.161	66.6036	66603.6	158.72	7488.09	6988.89	83866.6	0.0363769	54000
186587	457364	2162.12	736.147	68.2932	68293.2	161.378	7351.68	6861.57	82338.8	0.0370677	54000
188842	41536.9	12586.7	280.274	155.395	155395	267.465	5724.67	5343.02	64116.3	0.0473479	54000
203443	70965.2	10030.3	373.498	125.256	125256	245.595	6019.74	5618.42	67421	0.0451721	54000
202475	581105	1653.04	842.218	65.603	65603	157.252	7586.07	7080.33	84964	0.0358947	54000
207462	608449	1571.79	866.876	65.199	65199	156.69	7630.62	7121.91	85462.9	0.0356793	54000
159850	3671.6	21946.1	43.3775	384.392	384392	279.152	4164.14	3886.53	46638.4	0.0615484	54000
192730	517042	1881.65	785.898	66.7808	66780.8	158.99	7472.27	6974.12	83689.5	0.0364558	54000
222607	680083	1391.73	932.495	64.3364	64336.4	155.569	7738.45	7222.55	86670.6	0.0351674	54000
198398	60936.3	10769.8	346.527	132.895	132895	252.473	5936.87	5541.08	66493	0.0457679	54000
220752	671996	1410.09	925.038	64.4221	64422.1	155.675	7726.82	7211.7	86540.4	0.0352219	54000
228566	705057	1337.63	955.567	64.0871	64087.1	155.271	7773.6	7255.36	87064.3	0.0350033	54000
205680	75711.5	9717.24	385.069	122.224	122224	242.571	6054.68	5651.04	67812.5	0.0449243	54000
210240	211862	4953.78	565.973	85.3442	85344.2	191.163	6663.42	6219.19	74630.3	0.0409274	54000
223889	685580	1379.5	937.569	64.2796	64279.6	155.5	7746.28	7229.86	86758.3	0.0351307	54000
189748	310927	3364.35	630.962	75.2979	75297.9	173.443	6979.84	6514.52	78174.2	0.0390721	54000
222606	680077	1391.75	932.49	64.3364	64336.4	155.569	7738.44	7222.54	86670.5	0.0351674	54000
193064	289663	3635.5	617.543	76.9569	76956.9	176.391	6916.22	6455.14	77461.7	0.0394337	54000
186838	35614.8	13259.1	254.396	165.513	165513	272.168	5640.21	5264.19	63170.3	0.047999	54000
185483	5697.88	18737.6	58.3083	300.828	300828	285.891	4738.94	4423.01	53076.1	0.0557765	54000
191769	48007.9	11915.9	305.035	146.361	146361	262.286	5805.17	5418.16	65017.9	0.0467392	54000
185250	5669.23	18766.7	58.1016	301.701	301701	285.852	4733.43	4417.87	53014.5	0.0558288	54000
204765	593974	1613.78	853.786	65.4067	65406.7	156.976	7607.3	7100.15	85201.8	0.0357918	54000
203812	71730.7	9978.35	375.411	124.745	124745	245.098	6025.54	5623.83	67486	0.0451308	54000
187191	465041	2121.37	742.361	68.0695	68069.5	161.016	7368.09	6876.89	82522.7	0.0369834	54000
191619	18031.2	15381.8	151.103	206.597	206597	283.04	5338.04	4982.17	59786	0.0504353	54000
201516	67048.9	10305.6	363.406	128.017	128017	248.201	5988.98	5589.71	67076.5	0.0453919	54000
203554	71193.2	10014.8	374.07	125.103	125103	245.447	6021.47	5620.04	67440.5	0.0451598	54000
179829	5085.62	19437.6	53.8878	321.48	321480	284.787	4607.1	4299.96	51599.5	0.0570448	54000
183336	5446.26	19004.7	56.4933	308.804	308804	285.512	4688.45	4375.89	52510.7	0.0562582	54000
205469	597822	1602.4	857.259	65.3502	65350.2	156.898	7613.56	7105.99	85271.8	0.0357615	54000
204322	591533	1621.08	851.587	65.4431	65443.1	157.027	7603.31	7096.43	85157.1	0.0358111	54000
224229	687025	1376.31	938.903	64.2648	64264.8	155.482	7748.33	7231.77	86781.3	0.0351211	54000
219019	664291	1428	917.942	64.5062	64506.2	155.78	7715.63	7201.26	86415.1	0.0352746	54000
191295	47028.1	12013.1	301.488	147.611	147611	263.064	5793.7	5407.46	64889.5	0.0468252	54000
204232	236853	4466.76	583.713	82.1841	82184.1	185.656	6748.09	6298.22	75578.6	0.0404168	54000
206393	602795	1587.92	861.755	65.2785	65278.5	156.799	7621.58	7113.47	85361.7	0.0357228	54000
220203	669570	1415.69	922.803	64.4483	64448.3	155.708	7723.31	7208.42	86501.1	0.0352384	54000
195691	538655	1797.58	804.623	66.3412	66341.2	158.326	7512.3	7011.48	84137.7	0.0362567	54000
193286	51054.8	11623.5	315.659	142.709	142709	259.89	5839.35	5450.06	65400.7	0.0464842	54000
187407	467625	2108	744.465	67.9964	67996.4	160.898	7373.56	6881.99	82583.8	0.0369554	54000
