"# Values[S].InitialValue"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"(R21 - production I).l_5"
180318	5146.79	19348	54.2997	378.847	378847	288.072	4674.57	4362.93	52355.2	0.0610955	0.1
202321	243276	4347.08	587.496	86.3668	86366.8	200.788	7375.64	6883.93	82607.1	0.0410823	0.1
202129	244101	4332.65	588.043	86.2639	86263.9	200.607	7378.42	6886.53	82638.3	0.0410669	0.1
152695	3312.77	22875.7	40.5203	442.091	442091	277.79	4030	3761.33	45136	0.0674748	0.1
198377	557463	1728.64	820.846	69.0915	69091.5	169.522	8107.14	7566.66	90799.9	0.0373542	0.1
204321	74281.7	9792.24	380.939	135.899	135899	264.065	6562.3	6124.81	73497.7	0.0459923	0.1
210110	622840	1530.58	879.671	67.9302	67930.2	167.54	8198.38	7651.82	91821.9	0.0369299	0.1
207207	222740	4727.9	573.409	89.1153	89115.3	205.572	7304.54	6817.57	81810.9	0.0414776	0.1
213517	639527	1487.04	894.922	67.6795	67679.5	167.12	8219.78	7671.8	92061.5	0.0368316	0.1
207159	80598.6	9400.28	395.602	131.197	131197	260.138	6616.34	6175.25	74103	0.0456386	0.1
199547	564730	1704.1	827.292	68.9458	68945.8	169.27	8117.94	7576.74	90920.9	0.0373035	0.1
162553	3825.46	21584.3	44.5546	423.772	423772	281.423	4245.07	3962.07	47544.8	0.0652853	0.1
176934	4834.11	19769.4	52.0378	388.816	388816	286.811	4587.86	4282.01	51384.1	0.0619204	0.1
191544	48980.6	11796.8	307.799	165.409	165409	281.469	6267.84	5849.98	70199.8	0.0479925	0.1
201090	573996	1673.82	835.55	68.7668	68766.8	168.962	8131.45	7589.36	91072.3	0.0372403	0.1
165845	4022.94	21162.8	46.0554	416.713	416713	282.653	4320.32	4032.3	48387.6	0.064533	0.1
