"# (R23 - production T).gT"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"[T]"	"[mS]"	"[S]"	"(R21 - production I).n_6"
0.0857513	67259.3	10200	360.491	469.623	469623	347.871	8444.32	7881.36	94576.3	0.0717155	0.0857513	19359.3	198257	3
0.0255623	4656.45	20024.3	50.7215	538.543	538543	288.57	4576.78	4271.66	51259.9	0.108374	0.0255623	17058.6	174696	3
0.0681433	52606.8	11390.8	318.111	517.1	517100	337.501	7675.98	7164.25	85971	0.0862037	0.0681433	18684.9	191352	3
0.0542051	24871.9	14505.3	195.81	530.616	530616	314.896	6166.21	5755.13	69061.6	0.096399	0.0542051	18114.1	185505	3
0.0104937	4402.92	20439.5	48.8657	539.2	539200	287.058	4490.86	4191.47	50297.6	0.109886	0.0104937	16736.3	171396	3
0.0536574	37042.9	13011.1	259.196	530.943	530943	324.847	6811.54	6357.43	76289.2	0.0967525	0.0536574	18091.5	185275	3
0.0253922	4652.41	20030.5	50.692	538.557	538557	288.547	4575.45	4270.42	51245.1	0.108405	0.0253922	17053.7	174646	3
0.111803	203796	5054.51	553.373	239.776	239776	401.374	13873.2	12948.4	155380	0.0522923	0.111803	20189.8	206763	3
0.0420862	5180.66	19294	54.5133	535.758	535758	291.342	4736.42	4420.66	53047.9	0.103132	0.0420862	17626.8	180516	3
0.128185	85240.6	9174.4	407.681	100.476	100476	200.256	5163.28	4819.06	57828.8	0.0428713	0.128185	20605	211015	3
0.0675611	17404	15394.8	145.977	517.933	517933	309.527	5834.38	5445.42	65345.1	0.0866659	0.0675611	18661.5	191111	3
0.0893982	70158.3	9995.71	367.873	451.333	451333	349.567	8585.25	8012.9	96154.8	0.0687437	0.0893982	19488.4	199580	3
0.116	88089.6	8927.94	409.333	193.06	193060	324.822	8502.68	7935.84	95230.1	0.0496585	0.116	20303.6	207929	3
0.188045	107297	8134.93	452.581	60.0178	60017.8	97.4744	2683.68	2504.77	30057.2	0.0239421	0.188045	21593.5	221138	3
0.173531	99641.1	8490.79	439.29	60.1046	60104.6	96.4798	2595.87	2422.81	29073.8	0.0269023	0.173531	21413.3	219293	3
0.0114668	4412.91	20422.3	48.9392	539.185	539185	287.12	4494.36	4194.73	50336.8	0.109851	0.0114668	16749.7	171533	3
0.00592585	4367.84	20500.7	48.6073	539.239	539239	286.839	4478.5	4179.93	50159.2	0.109979	0.00592585	16689	170912	3
0.015789	4467.94	20328.7	49.3435	539.085	539085	287.457	4513.46	4212.56	50550.8	0.109612	0.015789	16822.2	172275	3
0.165972	95819.9	8679.9	432.264	60.2803	60280.3	96.2878	2559.82	2389.17	28670	0.0287674	0.165972	21306.7	218202	3
0.0559956	40386.4	12629.4	273.526	529.467	529467	327.641	6997.99	6531.45	78377.5	0.0952141	0.0559956	18187.8	186260	3
0.061537	282517	3656.76	604.614	524.973	524973	458.601	17945.4	16749	200988	0.0912901	0.061537	18416	188598	3
0.107614	623450	1482.11	871.509	288.922	288922	515.021	25346	23656.2	283875	0.0550731	0.107614	20070.7	205543	3
0.0625379	6255.23	18201.3	62.2344	523.98	523980	295.743	4997.33	4664.18	55970.1	0.0905445	0.0625379	18457.1	189018	3
0.097724	219987	4709.95	564.643	392.166	392166	428.657	15254.8	14237.9	170854	0.0622088	0.097724	19767.6	202440	3
0.0615673	46494.5	11979.5	297.151	524.943	524943	332.661	7339	6849.73	82196.8	0.0912677	0.0615673	18417.2	188610	3
