"# (R23 - production T).gT"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"[T]"	"[mS]"	"[S]"	"(R21 - production I).T0_6"
0.0774267	60501.9	10714.1	342.112	493.871	493871	343.293	8097.19	7557.38	90688.6	0.077201	0.0774267	19050.1	195091	0.11
0.0703909	263770	3934.56	593.084	506.19	506190	450.882	17191.9	16045.7	192549	0.081238	0.0703909	18775	192274	0.11
0.0543394	5754.46	18654.3	58.6353	524.029	524029	293.819	4884.76	4559.11	54709.3	0.09058	0.0543394	18119.6	185562	0.11
0.150524	172555	5838.65	529.633	128.943	128943	293.72	9529.53	8894.23	106731	0.0454644	0.150524	21057.2	215646	0.11
0.0533378	25894.4	14378.2	201.942	524.795	524795	315.619	6215.09	5800.75	69609	0.0911543	0.0533378	18078.4	185140	0.11
0.0520901	28114.1	14100.5	214.693	525.706	525706	317.384	6327.64	5905.8	70869.6	0.0918661	0.0520901	18027.2	184616	0.11
0.0308209	4794.68	19816.1	51.7263	535.547	535547	289.323	4620.78	4312.73	51752.8	0.102794	0.0308209	17220.8	176357	0.11
0.089561	70306.9	9985.24	368.234	462.872	462872	349.922	8599.14	8025.87	96310.4	0.0705343	0.089561	19494	199638	0.11
0.0441848	5266.53	19188.8	55.1314	530.472	530472	291.707	4759.62	4442.32	53307.8	0.0962458	0.0441848	17708.8	181355	0.11
0.0919114	72172.6	9858.61	372.829	455.088	455088	351.074	8690.9	8111.51	97338.1	0.0692985	0.0919114	19575	200467	0.11
0.125974	98856.5	8365.33	429.152	267.237	267237	355.228	9634.95	8992.62	107911	0.0538289	0.125974	20553.5	210487	0.11
0.0165923	4480.06	20308.4	49.4325	538.277	538277	287.523	4517.51	4216.35	50596.1	0.107798	0.0165923	16838	172437	0.11
0.0560571	40455.6	12621.8	273.814	522.636	522636	327.62	7000.13	6533.46	78401.5	0.08959	0.0560571	18190.3	186286	0.11
0.0697803	547408	1709.36	802.8	507.104	507104	521.632	25001.5	23334.7	280017	0.0815922	0.0697803	18750.6	192024	0.11
0.0362726	4965.78	19574.4	52.9646	533.844	533844	290.229	4673.28	4361.73	52340.7	0.100291	0.0362726	17409	178285	0.11
0.160798	106087	8127.76	447.074	97.7089	97708.9	200.395	5519.92	5151.92	61823.1	0.0425603	0.160798	21228.2	217397	0.11
0.115697	90910.4	8755.97	413.884	336.284	336284	358.512	9485.63	8853.26	106239	0.0580029	0.115697	20295.6	207846	0.11
0.120064	640758	1437.8	887.28	307.481	307481	519.9	25720.3	24005.6	288067	0.0561776	0.120064	20408.9	209007	0.11
0.221811	687074	1377.86	939.281	60.6581	60658.1	142.246	7087.38	6614.89	79378.7	0.0305416	0.221811	21915.2	224432	0.11
