"# (R23 - production T).gT"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"[T]"	"[mS]"	"[S]"	"(R21 - production I).l_6"
0.118696	91911.6	8714.04	416.341	236.286	236286	344.185	9130.56	8521.85	102262	0.0520982	0.118696	20374	208649	0.1
0.121093	93329	8645.08	419.26	219.104	219104	339.562	9047.16	8444.01	101328	0.0511401	0.121093	20434.8	209272	0.1
0.0417503	5167.03	19311.3	54.4158	529.558	529558	291.213	4731.52	4416.09	52993	0.0953049	0.0417503	17613.9	180383	0.1
0.0946748	74264	9721.76	377.896	403.224	403224	351.07	8760.53	8176.49	98117.9	0.063206	0.0946748	19667.9	201418	0.1
0.159441	96851.5	8602.97	432.87	74.7637	74763.7	134.732	3599.33	3359.37	40312.5	0.0389491	0.159441	21206.8	217178	0.1
0.0977531	76658.7	9569.25	383.51	385.309	385309	352.011	8863.36	8272.47	99269.6	0.0616247	0.0977531	19768.6	202449	0.1
0.0598347	6076.37	18353.7	60.9488	512.518	512518	294.962	4956.74	4626.29	55515.5	0.0839003	0.0598347	18346	187881	0.1
0.0635586	48404.3	11789.3	303.965	506.905	506905	333.99	7440.27	6944.25	83331	0.0815144	0.0635586	18498.8	189446	0.1
0.057145	22446	14803.6	180.603	516.026	516026	312.926	6048.59	5645.35	67744.2	0.0856294	0.057145	18235.2	186746	0.1
0.0843973	11409.5	16178.9	100.801	451.841	451841	304.295	5554.37	5184.08	62208.9	0.0688173	0.0843973	19310.3	197756	0.1
0.0208502	4554.42	20186	49.9771	537.322	537322	287.961	4542.68	4239.83	50878	0.105875	0.0208502	16933	173410	0.1
0.0629456	47820.5	11846.9	301.911	507.894	507894	333.529	7408.08	6914.21	82970.5	0.081906	0.0629456	18473.8	189189	0.1
0.0132892	4433.98	20386.2	49.0941	538.501	538501	287.244	4501.61	4201.5	50418	0.108282	0.0132892	16777.6	171819	0.1
0.0618693	46776.7	11951.2	298.179	509.567	509567	332.699	7350.4	6860.37	82324.4	0.0825949	0.0618693	18429.6	188737	0.1
0.164015	184391	5596.7	545.399	70.5515	70551.5	138.976	4595.9	4289.51	51474.1	0.0378286	0.164015	21277.6	217903	0.1
0.125695	95565.6	8542.39	423.987	188.173	188173	326.218	8748.37	8165.14	97981.7	0.0493732	0.125695	20546.9	210420	0.1
0.0813708	63702.1	10464.1	351.049	463.04	463040	345.138	8254.25	7703.97	92447.6	0.0705625	0.0813708	19199	196616	0.1
