"# (R23 - production T).gT"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"[T]"	"[mS]"	"[S]"	"(R21 - production I).l_6"
0.0706959	54815.1	11192.8	325.148	491.851	491851	338.885	7788.75	7269.5	87234	0.0766427	0.0706959	18787.1	192398	0.09
0.0943811	224615	4618.78	567.853	399.272	399272	431.058	15461.5	14430.7	173168	0.0628411	0.0943811	19658.1	201318	0.09
0.22642	688489	1375	940.639	60.0719	60071.9	140.19	6987.33	6521.51	78258.1	0.0262386	0.22642	21950.7	224796	0.09
0.118696	91561.5	8734.51	415.776	224.734	224734	340.476	9020.57	8419.2	101030	0.0514549	0.118696	20374	208649	0.09
0.121093	92853	8672.39	418.5	207.493	207493	334.661	8901.21	8307.8	99693.6	0.0504861	0.121093	20434.8	209272	0.09
0.0417503	5167.03	19311.3	54.4158	529.394	529394	291.212	4731.49	4416.06	52992.7	0.0951416	0.0417503	17613.9	180383	0.09
0.0946748	74248.1	9722.96	377.866	397.56	397560	350.852	8754.47	8170.84	98050.1	0.0626861	0.0946748	19667.9	201418	0.09
0.159441	95845.4	8659.02	431.29	71.6793	71679.3	126.003	3354.21	3130.6	37567.2	0.0381596	0.159441	21206.8	217178	0.09
0.0977531	76635.9	9570.91	383.467	378.744	378744	351.706	8854.8	8264.48	99173.8	0.0610872	0.0977531	19768.6	202449	0.09
0.0598347	6076.32	18353.7	60.9485	511.886	511886	294.954	4956.6	4626.16	55514	0.0836103	0.0598347	18346	187881	0.09
0.0635586	48403.4	11789.4	303.962	506.085	506085	333.978	7439.96	6943.96	83327.6	0.0811979	0.0635586	18498.8	189446	0.09
0.057145	22446.4	14803.5	180.606	515.504	515504	312.92	6048.48	5645.25	67743	0.0853586	0.057145	18235.2	186746	0.09
0.0843973	11414.2	16178.3	100.838	448.635	448635	304.235	5553.43	5183.2	62198.4	0.0683597	0.0843973	19310.3	197756	0.09
0.0208502	4554.42	20186	49.9771	537.298	537298	287.961	4542.67	4239.83	50877.9	0.10583	0.0208502	16933	173410	0.09
0.0629456	47819.7	11847	301.908	507.108	507108	333.517	7407.79	6913.94	82967.2	0.0815938	0.0629456	18473.8	189189	0.09
0.0132892	4433.98	20386.2	49.0941	538.492	538492	287.244	4501.6	4201.5	50418	0.108263	0.0132892	16777.6	171819	0.09
0.0618693	46775.9	11951.3	298.177	508.838	508838	332.688	7350.13	6860.12	82321.5	0.0822904	0.0618693	18429.6	188737	0.09
0.164015	185379	5575.08	546.491	68.1837	68183.7	131.916	4369.94	4078.61	48943.3	0.0370267	0.164015	21277.6	217903	0.09
0.125695	94748.7	8587.99	422.703	176.867	176867	318.212	8508.99	7941.72	95300.7	0.0486996	0.125695	20546.9	210420	0.09
0.0813708	63698.2	10464.4	351.04	460.374	460374	345.081	8252.72	7702.54	92430.4	0.0701243	0.0813708	19199	196616	0.09
0.113758	88457.5	8892.09	409.303	262.008	262008	348.005	9129.79	8521.14	102254	0.053534	0.113758	20243.5	207313	0.09
0.0747068	58219.5	10901	335.493	481.657	481657	341.356	7969.68	7438.37	89260.4	0.0741445	0.0747068	18945.1	194016	0.09
0.0680755	52527	11398.4	317.861	497.608	497608	337.169	7665.36	7154.33	85852	0.078301	0.0680755	18682.2	191324	0.09
0.0663246	6528.41	17988.7	64.2078	501.098	501098	296.409	5047.56	4711.05	56532.7	0.079419	0.0663246	18611.5	190599	0.09
0.120617	92610.7	8683.85	417.985	210.857	210857	335.951	8929.07	8333.8	100006	0.0506764	0.120617	20422.8	209150	0.09
0.0219513	4576.4	20150.6	50.1377	537.068	537068	288.089	4550.02	4246.68	50960.2	0.105398	0.0219513	16960.5	173692	0.09
0.169585	99258.1	8501.03	438.15	65.2847	65284.7	109.533	2945.16	2748.81	32985.7	0.0357262	0.169585	21358.8	218735	0.09
0.0931778	73079.9	9799.33	375.068	406.128	406128	350.351	8703.02	8122.81	97473.8	0.0634807	0.0931778	19617.9	200906	0.09
0.0518308	32697.5	13531.6	238.792	521.461	521461	321.094	6569.94	6131.94	73583.3	0.0888032	0.0518308	18016.6	184508	0.09
0.139233	95119.2	8627.74	426.407	111.295	111295	229.104	6110.85	5703.46	68441.5	0.0439639	0.139233	20843.6	213459	0.09
0.125145	643522	1437.93	891.133	180.332	180332	465.668	23036.9	21501.2	258014	0.0489083	0.125145	20533.8	210286	0.09
0.150367	189838	5449.65	548.83	83.2569	83256.9	179.953	6021.57	5620.14	67441.6	0.040596	0.150367	21054.4	215618	0.09
0.1104	86122.9	9016.68	404.398	287.913	287913	350.668	9129.1	8520.49	102246	0.0550142	0.1104	20150.5	206360	0.09
0.0791013	248014	4191.94	583.224	468.29	468290	443.545	16520.4	15419	185028	0.0714734	0.0791013	19113.8	195744	0.09
0.0365158	4974.03	19563.3	53.0243	532.226	532226	290.257	4675.49	4363.79	52365.5	0.098223	0.0365158	17417.8	178375	0.09
0.0838023	65658.2	10317.4	356.31	451.054	451054	346.32	8351	7794.27	93531.2	0.0687034	0.0838023	19288.6	197534	0.09
0.0132312	4433.26	20387.5	49.0888	538.499	538499	287.239	4501.35	4201.26	50415.2	0.108278	0.0132312	16776.7	171809	0.09
0.123163	93811.9	8628.27	420.573	193.272	193272	328.198	8753.65	8170.08	98040.9	0.0496709	0.123163	20485.9	209796	0.09
